"brand","forecast_channel","productline","pos_leads_ship_p","ship_leads_pos_p","leading_indicator"
"OKeeffes","ACE HARDWARE","Body Cream",0.75,0.01,"Shipments leads POS"
"OKeeffes","ACE HARDWARE","Hand Cream",0.96,0,"Shipments leads POS"
"OKeeffes","ACE HARDWARE","Lip Balm",0.19,0.03,"Shipments leads POS"
"OKeeffes","AMAZON CA","Body Cream",0.48,0.01,"Shipments leads POS"
"OKeeffes","AMAZON CA","Multiple",0.78,0,"Shipments leads POS"
"OKeeffes","AMAZON US","Body Cream",0.19,0,"Shipments leads POS"
"OKeeffes","AMAZON US","Hand Cream",0.21,0,"Shipments leads POS"
"OKeeffes","AMAZON US","Lip Balm",0.02,0.19,"POS leads Shipments"
"OKeeffes","AMAZON US","Multiple",0.04,0.1,"POS leads Shipments"
"OKeeffes","CANADIAN TIRE","Lip Balm",0.1,0.01,"Shipments leads POS"
"OKeeffes","DOLLAR GENERAL","Hand Cream",0.3,0.02,"Shipments leads POS"
"OKeeffes","HOME DEPOT CA","Hand Cream",0.99,0.01,"Shipments leads POS"
"OKeeffes","HOME DEPOT US","Lip Balm",0.05,0.04,"Shipments leads POS"
"OKeeffes","KROGER","Hand Cream",0.02,0.05,"POS leads Shipments"
"OKeeffes","MENARDS","Multiple",0.79,0,"Shipments leads POS"
"OKeeffes","TARGET","Foot Mask",0.05,0.22,"No significant causality"
"OKeeffes","TARGET","Hand Cream",0.87,0,"Shipments leads POS"
"OKeeffes","TARGET","Lip Balm",0.06,0,"Shipments leads POS"
"OKeeffes","WALGREENS","Hand Cream",0.8,0.01,"Shipments leads POS"
"OKeeffes","WALMART CA","Foot Mask",0.61,0.05,"No significant causality"
"OKeeffes","WALMART CA","Hand Cream",0.03,0.79,"POS leads Shipments"
"OKeeffes","WALMART CA","Multiple",0,0,"Bidirectional"
"OKeeffes","WALMART US","Body Cream",0,0.11,"POS leads Shipments"
"OKeeffes","WALMART US","Hand Cream",0.96,0,"Shipments leads POS"
"OKeeffes","WALMART US","Lip Balm",0.42,0.01,"Shipments leads POS"
