"entity","brand","updated_week_ending_date","forecast_channel","productline","producttype","productvariant","productform","shipment_sales","shipment_units","pos_sales","pos_units"
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Body Cream","Skin Repair","Original","Pump",1825.28,184,1055.73,59
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Foot Cream","Healthy Feet","Night Treatment","Tube",321.2,55,172.99,15
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Jar",4062.72,768,5142.42,502
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Foot Cream","Healthy Feet","Original","Tube",1930.85,365,3025.25,291
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Cream","Working Hands","Night Treatment","Tube",146,25,272.21,24
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Cream","Working Hands","Original","Jar",4071.24,548,6759.92,618
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Cream","Working Hands","Original","Tube",2089.91,431,5035.93,514
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Hand Soap","Working Hands","Unscented","Pump",54.48,12,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","Cooling","Stick",1000.8,360,1825.7,319
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","Night Treatment","Jar",159.75,45,123.85,15
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","SPF","Stick",1661.4,468,1955.08,286
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"ACE HARDWARE","Lip Balm","Lip Repair","Unscented","Stick",700.56,252,1801.52,327
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Body Cream","Skin Repair","Eczema Relief","Tube",143.52,12,376.3,18
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Body Cream","Skin Repair","Original","Pump",-376.74,-42,789.45,24
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Cream","Healthy Feet","Intense Renewal","Tube",191.7,30,539.64,36
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Cream","Healthy Feet","Original","Jar",5361.92,944,9606.35,877
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Cream","Healthy Feet","Original","Tube",613.44,108,1831.99,123
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Foot Mask","Healthy Feet","Sock","Pouch",123.2,40,598.2,60
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Cuticle Repair","Jar",80.1,15,181.86,14
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Night Treatment","Tube",207.6,30,1145.96,68
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Original","Jar",3337.2,440,4313.81,320
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Hand Cream","Working Hands","Original","Tube",949.92,144,3375.15,266
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Lip Balm","Lip Repair","Cherry","Stick",53.46,18,48.99,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Lip Balm","Lip Repair","Cooling","Stick",1031.82,174,2399.77,205
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON CA","Multiple","Product","Combo","Mixed Pack",76.92,6,95.42,2
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Body Cream","Skin Repair","Original","Pump",15504,1824,11154.32,657
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Intense Renewal","Tube",37315.85,7345,11257.8,1294
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Night Treatment","Tube",13792.8,1104,3784.76,161
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Original","Jar",109496.4,9612,79430.1,6833
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Original","Tube",13772.05,1259,14911.34,1428
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Foot Cream","Healthy Feet","Pain Relieving","Tube",403.65,39,595.98,42
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Combo","Tube",20392.96,896,2213.66,74
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Night Treatment","Tube",13930.08,624,20556.79,1028
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Original","Jar",79697.5,7052,44805.14,3138
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Hand Cream","Working Hands","Original","Tube",11236.78,1153,25707.44,1627
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Cherry","Stick",2744.2,418,2666.69,355
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Combo","Stick",8245.44,1056,4651.48,381
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Cooling","Stick",13365.6,2352,15390.04,2035
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Cooling","Tube",430.92,158,833.4,68
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Night Treatment","Jar",2526.6,492,11163.35,1353
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","SPF","Stick",29129.28,3616,14371.06,830
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Unscented","Stick",2176.86,736,8302.1,531
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Lip Balm","Lip Repair","Unscented","Tube",433.68,156,519.8,20
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"AMAZON US","Multiple","Product","Combo","Mixed Pack",2260.44,234,12806.98,700
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Foot Cream","Healthy Feet","Original","Jar",1292.94,198,3632.97,303
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Foot Cream","Healthy Feet","Original","Tube",313.44,48,0,0
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Cuticle Repair","Jar",322.3,55,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Night Treatment","Tube",626.4,80,694.52,70
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Jar",1175.4,180,5250.55,415
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Hand Cream","Working Hands","Original","Tube",2532.96,312,1180.97,91
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Lip Balm","Lip Repair","Aloe","Stick",869.04,270,791.01,99
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Lip Balm","Lip Repair","Cooling","Stick",342.72,96,775.43,97
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"CANADIAN TIRE","Lip Balm","Lip Repair","Unscented","Stick",278.46,78,991.56,124
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"DOLLAR GENERAL","Foot Cream","Healthy Feet","Original","Jar",6507.6,1320,13576.35,1541
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"DOLLAR GENERAL","Lip Balm","Lip Repair","Cooling","Stick",5873.28,2208,11296.64,2415
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Hand Cream","Working Hands","Original","Jar",1177.2,216,924.73,93
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Hand Cream","Working Hands","Original","Tube",1046.4,192,793.5,80
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT CA","Lip Balm","Lip Repair","Unscented","Stick",494.52,156,465.65,67
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Body Cream","Skin Repair","Original","Tube",33.72,6,45.3,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Foot Cream","Healthy Feet","Night Treatment","Tube",26.3,5,39.25,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Foot Cream","Healthy Feet","Original","Tube",22.65,5,33.81,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Hand Cream","Working Hands","Original","Jar",223.04,32,327.83,4
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Hand Cream","Working Hands","Original","Tube",27.25,5,40.67,1
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"HOME DEPOT US","Lip Balm","Lip Repair","Unscented","Stick",30.72,12,45.86,2
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Foot Cream","Healthy Feet","Night Treatment","Tube",2970.4,470,NA,NA
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Foot Cream","Healthy Feet","Original","Jar",1884.9,366,3387.54,381
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Foot Cream","Healthy Feet","Pain Relieving","Tube",430.92,42,956.47,56
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Hand Cream","Working Hands","Original","Jar",4820.4,936,9715.49,1051
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Hand Cream","Working Hands","Original","Tube",2884,560,10764.64,1161
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"KROGER","Lip Balm","Lip Repair","Unscented","Stick",1866.24,648,4179.92,831
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Body Cream","Skin Repair","Original","Pump",298.8,30,336.04,31
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Body Cream","Skin Repair","Original","Tube",436.92,66,559.3,70
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Intense Renewal","Tube",872.9,145,498.48,67
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Night Treatment","Tube",391.3,65,723.84,104
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Original","Jar",2631.12,456,3247.94,502
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Foot Cream","Healthy Feet","Original","Tube",255,50,472.31,73
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Hand Cream","Working Hands","Night Treatment","Tube",602,100,501.12,72
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Hand Cream","Working Hands","Original","Jar",1107.84,192,2782.1,430
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Hand Cream","Working Hands","Original","Tube",1045.2,150,1574.62,170
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"MENARDS","Lip Balm","Lip Repair","Cherry","Stick",892.32,208,NA,233
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Night Treatment","Tube",361.2,60,236,29
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Original","Jar",11837.16,2358,18020,2268
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Original","Tube",30145.1,6005,35141,4544
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Cream","Healthy Feet","Pain Relieving","Tube",29.31,3,54,4
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Foot Mask","Healthy Feet","Sock","Pouch",163.2,48,266,52
"The Gorilla Glue Company LLC","OKeeffes",2024-06-23,"TARGET","Hand Cream","Working Hands","Night Treatment","Tube",1444.8,240,1989,219
